"user_id","game_name","payment_month","language","age","has_older_device_model","arppu","paid_users","new_paid_users","mrr","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_mrr","back_from_churn_mrr"
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-03-01,uk,20,false,48.45,1,1,48.45,48.45,0,0,,,
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,2022-03-01,ru,25,false,55.62,1,1,55.62,55.62,0,0,,,
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-03-01,uk,38,false,12.72,1,1,12.72,12.72,0,0,,,
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-03-01,ru,20,false,17.79,1,1,17.79,17.79,0,0,,,
A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,2022-03-01,uk,24,false,45.27,1,1,45.27,45.27,0,0,,,
NMmQVq8bB84KydONJjvTfQ==,game 3,2022-03-01,uk,18,true,15.33,1,1,15.33,15.33,1,15.33,,,
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-03-01,ru,22,false,14.10,1,1,14.1,14.1,0,0,,,
CCwTMcGtpirFFuqzSeTyaQ==,game 3,2022-03-01,uk,18,false,15.84,1,1,15.84,15.84,0,0,,,
ZmjMhgyYl6o8iFq964FEWg==,game 3,2022-03-01,ru,17,false,54.60,1,1,54.60,54.60,0,0,,,
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-03-01,uk,25,false,122.64,1,1,122.64,122.64,0,0,,,
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,2022-03-01,ru,35,false,12.54,1,1,12.54,12.54,1,12.54,,,
HJccOn6v5KHqBa8wRu42oQ==,game 3,2022-03-01,uk,20,false,27.60,1,1,27.6,27.6,1,27.6,,,
"72brUr/DKItStlTen5pHYg==",game 3,2022-03-01,uk,24,false,24.15,1,1,24.15,24.15,1,24.15,,,
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-03-01,ru,32,false,38.52,1,1,38.52,38.52,0,0,,,
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-04-01,ru,24,false,64.50,1,0,64.50,,0,0,22.47,,
ShEJVi+TtuQlvdw2uetd/Q==,game 3,2022-04-01,uk,22,false,131.97,1,1,131.97,131.97,0,0,,,
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-04-01,ru,16,false,81.42,1,0,81.42,,0,0,57.66,,
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01,ru,20,true,19.11,1,1,19.11,19.11,0,0,,,
"7zbxKst2yi3pfdVI8iEChw==",game 3,2022-04-01,ru,15,false,23.31,1,1,23.31,23.31,1,23.31,,,
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-04-01,ru,20,false,125.97,1,0,125.97,,0,0,108.18,,
s27V1tbCAysovKSY1XcdWQ==,game 3,2022-04-01,uk,34,false,39.48,1,0,39.48,,0,0,16.53,,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-04-01,ru,34,false,12.03,1,1,12.03,12.03,0,0,,,
J6WNl39fdxaY8ZtvV8wNkw==,game 3,2022-04-01,uk,18,true,18.42,1,0,18.42,,0,0,2.28,,
ZmjMhgyYl6o8iFq964FEWg==,game 3,2022-04-01,ru,17,false,56.70,1,0,56.70,,0,0,2.10,,
ilnMSoPJHAYMegDX02XG+w==,game 3,2022-04-01,uk,25,false,54.03,1,1,54.03,54.03,0,0,,,
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-04-01,ru,21,true,26.61,1,1,26.61,26.61,0,0,,,
A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,2022-04-01,uk,24,false,13.95,1,0,13.95,,1,13.95,,-31.32,
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,2022-04-01,uk,15,false,20.43,1,0,20.43,,0,0,,-3.84,
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-04-01,ru,18,false,48.45,1,1,48.45,48.45,1,48.45,,,
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-04-01,en,20,false,21.33,1,1,21.33,21.33,0,0,,,
iFnn4bfYgNs8OS5MCcLjeA==,game 3,2022-04-01,uk,28,false,18.39,1,1,18.39,18.39,1,18.39,,,
xiXTXOEbWU+HnGOUmgc9/w==,game 3,2022-04-01,uk,20,false,99.84,1,0,99.84,,0,0,75.66,,
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,2022-04-01,uk,21,false,60.57,1,1,60.57,60.57,0,0,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-04-01,uk,21,true,59.67,1,1,59.67,59.67,0,0,,,
aQDvOXzsDAJWi3Y47ptRPg==,game 3,2022-04-01,ru,20,false,15.21,1,1,15.21,15.21,0,0,,,
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-04-01,ru,20,false,56.85,1,1,56.85,56.85,0,0,,,
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-04-01,uk,14,false,24.09,1,1,24.09,24.09,1,24.09,,,
pz7LUOs9i7xgncmHVxQvOw==,game 3,2022-04-01,ru,24,false,19.50,1,0,19.5,,0,0,,-17.01,
b3TBQFxyCxxypmPajF+jXw==,game 3,2022-04-01,uk,15,true,14.82,1,0,14.82,,0,0,0.84,,
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-04-01,ru,23,false,63.60,1,0,63.60,,1,63.60,48.30,,
iFFApiXZ2wPdS666BLpKZw==,game 3,2022-04-01,uk,18,false,49.92,1,0,49.92,,1,49.92,23.07,,
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-04-01,ru,23,false,50.16,1,1,50.16,50.16,0,0,,,
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-04-01,uk,23,false,59.85,1,1,59.85,59.85,0,0,,,
o55dseByUOl9s5IQCz1kuQ==,game 3,2022-04-01,uk,22,false,86.88,1,0,86.88,,0,0,63.72,,
Grpkzd4XIHh+ZbTMNxnUGg==,game 3,2022-04-01,ru,30,false,35.55,1,1,35.55,35.55,0,0,,,
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-04-01,uk,22,false,42.18,1,1,42.18,42.18,0,0,,,
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-04-01,ru,24,true,42.24,1,1,42.24,42.24,0,0,,,
OwODWxXcsV4bBnhONiLkwg==,game 3,2022-04-01,uk,25,false,14.37,1,1,14.37,14.37,1,14.37,,,
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-04-01,uk,20,true,14.94,1,0,14.94,,0,0,,-12.21,
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-04-01,uk,25,false,62.13,1,1,62.13,62.13,0,0,,,
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-04-01,uk,16,false,33.03,1,1,33.03,33.03,0,0,,,
eCd4MBHIR4qUWapg05TFLQ==,game 3,2022-04-01,ru,18,false,23.04,1,1,23.04,23.04,0,0,,,
HZqx1XVZ1mb7lM9T61x+DA==,game 3,2022-04-01,ru,43,false,14.61,1,1,14.61,14.61,1,14.61,,,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-04-01,uk,16,false,128.40,1,0,128.40,,0,0,111.27,,
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-04-01,uk,21,false,82.23,1,1,82.23,82.23,1,82.23,,,
DqezK7HAqZ+GovyRuzxD1A==,game 3,2022-04-01,uk,23,false,83.19,1,1,83.19,83.19,0,0,,,
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-04-01,uk,15,false,82.53,1,0,82.53,,0,0,16.35,,
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-04-01,uk,16,false,57.72,1,0,57.72,,0,0,9.39,,
hRkRI5YBVIH6bbqIDTbung==,game 3,2022-04-01,uk,19,false,67.26,1,1,67.26,67.26,0,0,,,
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,2022-04-01,ru,17,false,59.64,1,1,59.64,59.64,0,0,,,
hkNuy6dTFIFcsQQfT5YkwQ==,game 3,2022-04-01,uk,21,false,20.25,1,1,20.25,20.25,1,20.25,,,
lCD23Awt3KotauWenCRr5w==,game 3,2022-04-01,uk,20,false,47.94,1,1,47.94,47.94,0,0,,,
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-04-01,uk,24,false,71.52,1,0,71.52,,0,0,48.51,,
CCwTMcGtpirFFuqzSeTyaQ==,game 3,2022-04-01,uk,18,false,20.76,1,0,20.76,,1,20.76,4.92,,
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-04-01,uk,38,false,48.33,1,0,48.33,,1,48.33,35.61,,
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-04-01,ru,22,false,65.97,1,0,65.97,,0,0,51.87,,
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,2022-04-01,ru,15,false,59.73,1,0,59.73,,1,59.73,21.63,,
fCdEizmUtnjNYQLbx81H8g==,game 3,2022-04-01,ru,16,false,18.12,1,1,18.12,18.12,1,18.12,,,
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-04-01,uk,20,false,53.49,1,0,53.49,,0,0,5.04,,
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-04-01,ru,19,false,41.46,1,1,41.46,41.46,0,0,,,
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-04-01,ru,21,false,55.86,1,1,55.86,55.86,0,0,,,
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-04-01,ru,25,false,36.84,1,0,36.84,,0,0,,-12.96,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-04-01,uk,14,false,87.36,1,1,87.36,87.36,0,0,,,
BJlqmsfEshc/QjsD7VgEjg==,game 3,2022-04-01,ru,18,false,30.66,1,1,30.66,30.66,1,30.66,,,
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-04-01,ru,23,false,114.15,1,0,114.15,,0,0,,-44.52,
H2Tik+BqoLgAQX4uSw/8vA==,game 3,2022-04-01,uk,30,false,14.34,1,1,14.34,14.34,0,0,,,
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-04-01,uk,20,false,58.44,1,0,58.44,,0,0,40.98,,
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-04-01,ru,32,false,58.20,1,0,58.20,,0,0,19.68,,
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,2022-04-01,uk,24,false,31.68,1,1,31.68,31.68,0,0,,,
TWDA+aUZ8OPMHOtz5cPPXA==,game 3,2022-04-01,ru,20,false,62.58,1,1,62.58,62.58,0,0,,,
"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,2022-04-01,uk,29,false,16.92,1,1,16.92,16.92,1,16.92,,,
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-04-01,ru,23,false,45.48,1,0,45.48,,1,45.48,29.37,,
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-04-01,ru,22,false,105.96,1,0,105.96,,0,0,71.22,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-04-01,uk,23,false,54.96,1,1,54.96,54.96,0,0,,,
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,2022-04-01,ru,25,false,16.80,1,0,16.8,,1,16.8,,-38.82,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-04-01,uk,21,false,26.28,1,1,26.28,26.28,0,0,,,
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-04-01,uk,25,false,56.16,1,0,56.16,,0,0,,-66.48,
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-05-01,ru,15,false,133.14,1,1,133.14,133.14,1,133.14,,,
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-05-01,ru,21,false,22.17,1,0,22.17,,0,0,,-33.69,
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-05-01,uk,22,false,38.76,1,0,38.76,,0,0,,-3.42,
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,2022-05-01,ru,35,false,31.56,1,0,31.56,,1,31.56,,,31.56
jKSOgyMP0Yzld1pVpvyYrg==,game 3,2022-05-01,uk,36,false,15.06,1,1,15.06,15.06,1,15.06,,,
DqezK7HAqZ+GovyRuzxD1A==,game 3,2022-05-01,uk,23,false,72.15,1,0,72.15,,0,0,,-11.04,
lP6BWSFF4OZeWp0jrAHY9g==,game 3,2022-05-01,uk,29,false,13.20,1,1,13.2,13.2,1,13.2,,,
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-05-01,uk,16,false,95.91,1,0,95.91,,0,0,38.19,,
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-05-01,uk,15,false,122.94,1,0,122.94,,0,0,40.41,,
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,2022-05-01,ru,17,false,47.88,1,0,47.88,,0,0,,,47.88
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-05-01,ru,34,false,28.32,1,0,28.32,,0,0,16.29,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-05-01,uk,23,false,72.06,1,0,72.06,,0,0,17.10,,
"3rCdNEPkh3vwmYB0BVadEw==",game 3,2022-05-01,ru,27,false,22.86,1,1,22.86,22.86,1,22.86,,,
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-05-01,en,16,false,91.17,1,1,91.17,91.17,0,0,,,
lGI5+OCzV6nnDMpyZWtZAg==,game 3,2022-05-01,ru,18,false,17.25,1,1,17.25,17.25,1,17.25,,,
hRkRI5YBVIH6bbqIDTbung==,game 3,2022-05-01,uk,19,false,16.44,1,0,16.44,,1,16.44,,-50.82,
RwtKwrRSrVpyAMRaDyhr8g==,game 3,2022-05-01,uk,44,false,24.06,1,1,24.06,24.06,0,0,,,
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,2022-05-01,ru,17,false,20.85,1,0,20.85,,1,20.85,,-38.79,
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-05-01,ru,20,false,91.68,1,0,91.68,,0,0,,-34.29,
BDvlXttM/hbupcLic+5ZWg==,game 3,2022-05-01,uk,29,false,12.93,1,1,12.93,12.93,0,0,,,
ZmjMhgyYl6o8iFq964FEWg==,game 3,2022-05-01,ru,17,false,27.00,1,0,27.0,,0,0,,-29.70,
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-05-01,uk,26,false,12.99,1,1,12.99,12.99,0,0,,,
lCD23Awt3KotauWenCRr5w==,game 3,2022-05-01,uk,20,false,90.75,1,0,90.75,,1,90.75,42.81,,
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,2022-05-01,uk,14,true,65.73,1,1,65.73,65.73,0,0,,,
"72brUr/DKItStlTen5pHYg==",game 3,2022-05-01,uk,24,false,19.92,1,0,19.92,,0,0,,,19.92
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-05-01,ru,22,false,62.61,1,0,62.61,,1,62.61,,-43.35,
HJccOn6v5KHqBa8wRu42oQ==,game 3,2022-05-01,uk,20,false,18.84,1,0,18.84,,1,18.84,,,18.84
xiXTXOEbWU+HnGOUmgc9/w==,game 3,2022-05-01,uk,20,false,73.29,1,0,73.29,,0,0,,-26.55,
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-05-01,en,20,false,75.90,1,0,75.90,,0,0,54.57,,
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-05-01,ru,32,false,118.95,1,0,118.95,,0,0,60.75,,
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-05-01,ru,16,false,15.69,1,0,15.69,,0,0,,-65.73,
GOl6BQXsy0zvbvIWIoKEQw==,game 3,2022-05-01,ru,18,false,64.65,1,1,64.65,64.65,1,64.65,,,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-05-01,uk,31,false,13.80,1,1,13.8,13.8,0,0,,,
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-05-01,ru,17,false,74.01,1,1,74.01,74.01,0,0,,,
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,2022-05-01,uk,15,false,15.33,1,0,15.33,,0,0,,-5.10,
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-05-01,ru,22,false,58.26,1,0,58.26,,0,0,,-7.71,
TWDA+aUZ8OPMHOtz5cPPXA==,game 3,2022-05-01,ru,20,false,27.42,1,0,27.42,,0,0,,-35.16,
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-05-01,ru,20,true,40.62,1,0,40.62,,1,40.62,21.51,,
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-05-01,uk,28,false,12.18,1,1,12.18,12.18,0,0,,,
ilnMSoPJHAYMegDX02XG+w==,game 3,2022-05-01,uk,25,false,64.86,1,0,64.86,,1,64.86,10.83,,
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-05-01,ru,31,false,24.36,1,1,24.36,24.36,1,24.36,,,
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-05-01,uk,20,false,36.75,1,0,36.75,,0,0,,-16.74,
eCd4MBHIR4qUWapg05TFLQ==,game 3,2022-05-01,ru,18,false,14.55,1,0,14.55,,0,0,,-8.49,
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-05-01,uk,28,false,12.99,1,1,12.99,12.99,1,12.99,,,
H2Tik+BqoLgAQX4uSw/8vA==,game 3,2022-05-01,uk,30,false,12.09,1,0,12.09,,0,0,,-2.25,
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,2022-05-01,uk,24,false,70.08,1,0,70.08,,0,0,38.40,,
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-05-01,ru,19,false,13.26,1,0,13.26,,0,0,,-28.20,
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-05-01,uk,21,true,12.36,1,0,12.36,,0,0,,-47.31,
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-05-01,uk,25,false,18.06,1,0,18.06,,0,0,,-38.10,
aQDvOXzsDAJWi3Y47ptRPg==,game 3,2022-05-01,ru,20,false,39.30,1,0,39.30,,0,0,24.09,,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-05-01,uk,16,false,67.29,1,0,67.29,,0,0,,-61.11,
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-05-01,uk,24,false,49.05,1,1,49.05,49.05,0,0,,,
qEF/fPDQLJPXIx6RiSIP1A==,game 3,2022-05-01,uk,20,false,21.84,1,1,21.84,21.84,0,0,,,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-05-01,uk,14,false,48.30,1,0,48.30,,0,0,,-39.06,
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01,uk,32,false,37.98,1,1,37.98,37.98,0,0,,,
pz7LUOs9i7xgncmHVxQvOw==,game 3,2022-05-01,ru,24,false,39.60,1,0,39.6,,0,0,20.1,,
J6WNl39fdxaY8ZtvV8wNkw==,game 3,2022-05-01,uk,18,true,24.99,1,0,24.99,,0,0,6.57,,
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,2022-05-01,uk,21,false,31.20,1,0,31.2,,0,0,,-29.37,
Grpkzd4XIHh+ZbTMNxnUGg==,game 3,2022-05-01,ru,30,false,41.88,1,0,41.88,,0,0,6.33,,
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-05-01,uk,24,false,16.05,1,0,16.05,,0,0,,-55.47,
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-05-01,ru,25,false,42.72,1,0,42.72,,0,0,5.88,,
b3TBQFxyCxxypmPajF+jXw==,game 3,2022-05-01,uk,15,true,28.68,1,0,28.68,,0,0,13.86,,
o55dseByUOl9s5IQCz1kuQ==,game 3,2022-05-01,uk,22,false,16.44,1,0,16.44,,0,0,,-70.44,
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-05-01,ru,24,false,66.57,1,0,66.57,,0,0,2.07,,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-05-01,uk,21,false,20.73,1,0,20.73,,1,20.73,,-5.55,
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-05-01,ru,24,false,12.48,1,1,12.48,12.48,0,0,,,
ShEJVi+TtuQlvdw2uetd/Q==,game 3,2022-05-01,uk,22,false,27.87,1,0,27.87,,0,0,,-104.10,
s27V1tbCAysovKSY1XcdWQ==,game 3,2022-05-01,uk,34,false,12.15,1,0,12.15,,1,12.15,,-27.33,
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-05-01,uk,23,false,68.73,1,0,68.73,,1,68.73,8.88,,
prNQwR2IPPsvGpFgOpcGaQ==,game 3,2022-05-01,uk,14,false,95.52,1,0,95.52,,1,95.52,,,95.52
qqYyR2vRI+7pgiuyTnVM+A==,game 3,2022-05-01,ru,19,false,40.17,1,1,40.17,40.17,0,0,,,
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-05-01,uk,21,false,47.22,1,1,47.22,47.22,0,0,,,
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-05-01,ru,23,false,37.62,1,0,37.62,,0,0,,-12.54,
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-05-01,ru,17,false,94.11,1,1,94.11,94.11,0,0,,,
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-05-01,ru,21,true,96.06,1,0,96.06,,0,0,69.45,,
xVwGwMaEG1yZydv5VIfEQA==,game 3,2022-05-01,uk,22,false,17.40,1,1,17.4,17.4,1,17.4,,,
Z7/6qvk8WKH3uR6IMYlCxw==,game 3,2022-05-01,uk,30,false,12.09,1,1,12.09,12.09,0,0,,,
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-05-01,uk,22,false,68.16,1,1,68.16,68.16,0,0,,,
crKNTIblJ0113SKEtSJQHw==,game 3,2022-05-01,uk,16,false,93.99,1,1,93.99,93.99,0,0,,,
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-05-01,ru,23,false,51.18,1,0,51.18,,0,0,,-62.97,
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-05-01,uk,19,false,22.74,1,1,22.74,22.74,0,0,,,
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-05-01,uk,20,false,54.27,1,0,54.27,,0,0,,-4.17,
S+4OKFlwA3L8VcjOt8TurA==,game 3,2022-05-01,uk,29,false,15.24,1,1,15.24,15.24,0,0,,,
B8zuTsAC2iJ98u2nlv/fUw==,game 3,2022-05-01,uk,21,true,39.96,1,1,39.96,39.96,1,39.96,,,
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-05-01,ru,24,true,15.60,1,0,15.6,,0,0,,-26.64,
q/Tz1C31XWaBUDrRn2ezDw==,game 3,2022-05-01,uk,21,false,17.64,1,1,17.64,17.64,0,0,,,
LWAxWBdiFs/25YxI4ZGthA==,game 3,2022-05-01,ru,17,true,86.46,1,1,86.46,86.46,0,0,,,
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-05-01,uk,25,false,155.97,1,0,155.97,,0,0,93.84,,
urYfKANRgMuaQO9lQnBgnQ==,game 3,2022-05-01,uk,31,false,12.66,1,1,12.66,12.66,0,0,,,
UNcp1RmIObUiGNqLDHjNVw==,game 3,2022-05-01,uk,16,false,28.35,1,1,28.35,28.35,1,28.35,,,
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-05-01,uk,20,true,26.40,1,0,26.40,,0,0,11.46,,
"7ew71UmoMb73L41PM/YL/w==",game 3,2022-05-01,uk,17,false,32.10,1,1,32.10,32.10,0,0,,,
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-05-01,uk,16,false,33.15,1,0,33.15,,0,0,0.12,,
an5Xsrpir8vvhTb50gnppQ==,game 3,2022-05-01,uk,43,false,15.51,1,1,15.51,15.51,1,15.51,,,
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-05-01,uk,18,true,30.72,1,0,30.72,,0,0,,,30.72
